id,createdTime,NAME,PHYLUM,SUBPHYLUM,CLASS,ORDER,SUBORDER,FAMILY,GENUS,POPU-SIZE,LIFESPAN(Y),TOPSPEED(KM/H),WEIGHT(KG),LENGTH(CM),HEIGHT(CM),ACTIVITY-PERIOD,REPRODUCTION,LIFESTYLE,SOCIAL,DOMESTICATED,TYPE,KINGDOM,EUROPE,ASIA,OCEANIA,SOUTH-AMERICA,NORTH-AMERICA,ANTARCTICA,AFRICA,POPU-STATUS,POPU-TREND,MATING-BEHAVIOR,REPRODUCTION-SEASON,PREGNANCY-DURATION(M),BABY-CARRYING(M),INDEPENDENT-AGE(M),FOREST,DUNES,RIVERS,MARINE,REEF,SEMI-DESERT,STEPPE,FRESHWATTER,ABYSSAL-ZONE,ICECAP,WETLANDS,MARSH,LAKES,COASTAL,CHAPARRAL,SHRUBLAND,RAINFOREST,INTERTIDAL-ZONE,URBAN,BENTHIC,ROCKY-AREAS,GRASSLAND,SAVANNA,MOUNTAINS,RIPARIAN,NERITIC-ZONE,ANTROPHOGENIC,ESTUARIES,OCEANIC-PELAGIC-ZONE,CAVES,AGRICULTURAL,ARID,COLD,TEMPERATE,POLAR,TROPICAL,POISONOUS
recTQSj1TcK9nqgVD,2023-11-04T18:50:20.000Z,Geoffroy's Tamarin,Chordata,Vertebrata,Mammalia,Primates,Callitrichidae,Saguinus,,,13.0,,0.4964999854564667,232.5,,['Diurnal'],Viviparous,Not a migrant,Social,No domesticated,Terrestrial,Animalia,No,No,No,Yes,Yes,No,No,Least concern (LC),Decreasing,Polygyny,year-round;,4.800000190734863,,3.5,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
recTQWhzBI4uLFSfL,2023-11-04T18:50:14.000Z,Brush-Tailed Rock-Wallaby,Chordata,Vertebrata,Mammalia,Marsupialia,Diprotodontia,Macropodidae,Petrogale,22500.0,7.5,,7.0,55.0,,['Nocturnal'],,Not a migrant,Social,No domesticated,Terrestrial,Animalia,No,No,Yes,No,No,No,No,Vulnerable (VU),Decreasing,Polygyny,Year-round,1.0,,9.0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No
recTRDVJcchbHyrbX,2023-11-04T18:50:55.000Z,Southern giant slender-tailed cloud rat,Chordata,Vertebrata,Mammalia,Rodentia,Muroidea,Muridae,Phloeomys,,,,1.7999999523162842,406.0,,['Nocturnal'],,Not a migrant,,No domesticated,Terrestrial,Animalia,No,Yes,No,No,No,No,No,Least concern (LC),Decreasing,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No
recTRR7F0vMn5fghd,2023-11-04T18:49:20.000Z,Northern Hairy-Nosed Wombat,Chordata,Vertebrata,Mammalia,Marsupialia,Diprotodontia,Vombatidae,Lasiorhinus,115.0,25.0,40.0,31.25,90.0,40.0,['Nocturnal'],,Not a migrant,Solitary,No domesticated,Terrestrial,Animalia,No,No,Yes,No,No,No,No,Critically endangered (CR),Stable,Monogamy,during,,,12.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
recTXqZbtbIOeKdTh,2023-11-04T18:50:19.000Z,Yellow-bellied weasel,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Mustelidae,Mustelinae,,,,2.0,260.0,,['Nocturnal'],,Not a migrant,Solitary,No domesticated,Terrestrial,Animalia,No,Yes,No,No,No,No,No,Least concern (LC),Stable,,,1.0,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,,,,,,No
recTa31Dt5srrDBrg,2023-11-04T18:49:54.000Z,Fat-Tailed Gerbil,Chordata,Vertebrata,Mammalia,Rodentia,Muroidea,Muridae,Pachyuromys,,3.0,,0.03350000083446503,10.0,,['Nocturnal'],Viviparous,Not a migrant,Social,No domesticated,Terrestrial,Animalia,No,No,No,No,No,No,Yes,Least concern (LC),Stable,,,0.699999988079071,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
recTagNgQZcJRkQyU,2023-11-04T18:51:14.000Z,Michoacan pocket gopher,Chordata,Vertebrata,Mammalia,Rodentia,Geomyidae,Zygogeomys,,,,,545.0,330.0,,[nan],,Not a migrant,Solitary,No domesticated,Terrestrial,Animalia,No,No,No,No,Yes,No,No,Endangered (EN),Decreasing,Polygyny,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
recTdfsrSXJu2iqLL,2023-11-04T18:50:29.000Z,Western harvest mouse,Chordata,Vertebrata,Mammalia,Rodentia,Cricetidae,Neotominae,Reithrodontomys,89150.0,,,0.012500000186264515,144.0,,['Nocturnal'],,Not a migrant,Solitary,No domesticated,Terrestrial,Animalia,No,No,No,No,Yes,No,No,Least concern (LC),Stable,Polygyny,,,,,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No
recTeSFXUkarSCBqu,2023-11-04T18:51:11.000Z,Himalayan water shrew,Chordata,Vertebrata,Mammalia,Eulipotyphla,Soricidae,Chimarrogale,,299.1499938964844,,,0.04650000110268593,205.0,,[nan],,,,No domesticated,Terrestrial,Animalia,No,Yes,No,No,No,No,No,Least concern (LC),,,,,,,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No
recTj3Hm6yhGEtaCx,2023-11-04T18:51:07.000Z,Juliana's golden mole,Chordata,Vertebrata,Mammalia,Afrosoricida,Chrysochloridae,Neamblysomus,,240.85000610351562,,,0.03350000083446503,100.0,,[nan],,Not a migrant,,No domesticated,Terrestrial,Animalia,No,No,No,No,No,No,Yes,Endangered (EN),,Polygynandry,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No
